iter	Passed	Remaining
0	3	351
1	5	254
2	8	263
3	10	253
4	12	242
5	14	228
6	16	215
7	18	208
8	19	200
9	21	192
10	23	186
11	24	181
12	26	178
13	28	174
14	29	168
15	31	164
16	33	162
17	36	164
18	39	166
19	42	171
20	45	172
21	48	172
22	50	168
23	53	168
24	56	169
25	60	172
26	62	168
27	65	169
28	69	170
29	73	171
30	75	168
31	80	170
32	83	168
33	86	168
34	89	165
35	92	164
36	95	163
37	99	162
38	101	159
39	105	158
40	109	158
41	114	157
42	117	156
43	120	153
44	125	153
45	128	151
46	133	150
47	137	148
48	140	146
49	143	143
50	145	139
51	146	135
52	147	131
53	149	127
54	150	123
55	151	119
56	152	115
57	153	111
58	154	107
59	156	104
60	158	101
61	162	99
62	167	98
63	171	96
64	173	93
65	176	90
66	178	88
67	182	85
68	183	82
69	187	80
70	191	78
71	192	74
72	193	71
73	196	69
74	197	65
75	200	63
76	203	60
77	206	58
78	208	55
79	211	52
80	214	50
81	217	47
82	221	45
83	223	42
84	226	39
85	230	37
86	233	34
87	235	32
88	237	29
89	239	26
90	243	24
91	245	21
92	248	18
93	249	15
94	253	13
95	255	10
96	257	7
97	260	5
98	264	2
99	266	0
