Kota,Paslon 1,Paslon 2,Total,Laju Pertumbuhan,Laki,Perempuan,Umur,Umur Squared,APM SD,APM SMP,APM SMA,Literate,TPAK,pendidikan_SD,pendidikan_SMP,pendidikan_SMA,pendidikan_Universitas,TK,SD,SMP,SMA,SMK,Universitas,Pengeluaran Bulanan,Persentase Kemiskinan,Indeks Pembangunan Manusia,DPT,Sentiment,Weighted Sentiment,Partisipasi
Kepulauan Seribu,"8,826","8,281","17,107",1.42,"12,117","12,226",28.90048893,835.2382602,92.02,77.57,70.53,99.6,58.61,43.89,21.74,34.37,0,9,14,7,1,1,0,"1,122,235",12.09,71.4,"19,013",-0.258666667,-1.149625721,0.836978326
Jakarta Barat,"830,191","611,338","1,441,529",1.19,"1,305,220","1,284,713",30.51479208,931.1525358,98.74,82.73,57.44,99.54,63.41,19.53,18.91,46.14,15.41,430,599,278,119,120,33,"2,144,622",3.25,81.21,"1,738,262",-0.258666667,-1.149625721,0.829293283
Jakarta Timur,"855,365","985,329","1,840,694",0.37,"1,477,494","1,460,365",30.86894334,952.8916627,98.59,85.63,66.26,95.7,64.88,10.32372688,13.39969291,50.57267051,25.7039097,637,642,263,123,201,88,"1,958,915",3.12,82.69,"2,246,279",-0.258666667,-1.149625721,0.819441396
Jakarta Pusat,"333,010","315,164","648,174",0.27,"462,170","465,939",32.84222651,1078.611842,98.12,81.68,60.24,99.76,65.2,15.25917447,17.39597333,46.55173522,20.79311697,193,280,108,53,30,61,"2,156,112",3.68,81.24,"809,975",-0.258666667,-1.149625721,0.800239514
Jakarta Utara,"571,704","416,426","988,130",1.23,"896,714","916,201",30.76631189,946.5659474,99.71,96.14,68,99.87,67.92,26.04,22.96,39.2,12.07,265,355,195,89,77,97,"1,934,450",5.04,80.17,"1,253,753",-0.258666667,-1.149625721,0.788137695
Jakarta Selatan,"670,875","721,313","1,392,188",0.9,"1,131,588","1,133,111",31.59074252,997.9750131,98.56,79.51,61.39,99.9,63.75,13.68849026,12.01393788,53.65813651,20.63943535,417,505,219,104,130,61,"2,247,124",2.73,84.75,"1,694,316",-0.258666667,-1.149625721,0.739975896
Bogor,"860,384","2,029,779","2,890,163",2.13,"3,045,174","2,920,236",28.35881121,804.2221734,99.26,83.45,53.31,97.6,65.41,37.03331828,17.22249665,36.0213723,9.722812773,656,1823,690,183,160,9,"1,216,394",6.66,70.65,"3,472,622",-0.29134,-0.798078799,0.83227112
Sukabumi,"400,469","1,011,896","1,412,365",0.9,"1,248,270","1,218,002",31.00835512,961.5180873,99.3,82.01,50.65,99.7,62.65,55.25492299,20.80661294,19.53563408,4.402829989,284,1211,330,78,183,5,"983,841",6.22,66.87,"1,826,011",-0.29134,-0.798078799,0.773470149
Cianjur,"461,008","774,195","1,235,203",1.01,"1,162,586","1,100,486",30.85376029,951.9545238,98.49,79.24,44.55,98.47267232,66,27.14882441,9.571106831,9.975765349,53.30430341,278,1256,314,92,139,4,"943,323",9.15,65.38,"1,666,979",-0.29134,-0.798078799,0.74098294
Bandung,"778,856","1,245,820","2,024,676",1.56,"1,911,189","1,864,090",29.61936482,877.3067724,99.02,82.06,52.75,99.78,65.32,35.97070143,24.3083774,31.61728891,8.103632257,528,1406,322,108,179,5,"1,098,748",5.94,72.41,"2,360,659",-0.29134,-0.798078799,0.857674065
Garut,"411,887","1,067,391","1,479,278",2.19,"1,319,079","1,303,346",30.07508661,904.5108345,99.17,82.6,51.04,98.82,62.6,53.2879797,20.49354542,21.02320983,5.195265053,715,1584,381,124,136,10,"838,445",8.98,66.22,"1,895,779",-0.29134,-0.798078799,0.780300868
Tasikmalaya,"302,177","728,708","1,030,885",0.89,"867,894","886,234",33.22877122,1104.151237,98.91,88.91,60.66,99.96,66.46,38.54196669,19.16738673,33,9.686360863,330,1086,259,67,69,4,"1,212,982",9.12,65.64,"1,366,465",-0.29134,-0.798078799,0.75441742
Ciamis,"298,913","431,938","730,851",0.7,"590,767","604,409",35.79743234,1281.456162,97.88,84.73,50.68,99.61520549,67.39,17.64128638,6.247228104,5.457843228,33.05557453,300,745,121,27,44,2,"1,001,390",6.65,70.39,"939,911",-0.29134,-0.798078799,0.777574685
Kuningan,"252,289","376,175","628,464",2.04,"543,415","537,389",33.95575979,1152.993623,95.57,79.6,66.79,97.84,61.2,52.59206734,18.01988244,22.56264802,6.8254022,280,652,103,28,108,5,"977,930",11.41,69.12,"851,417",-0.29134,-0.798078799,0.738138891
Cirebon,"822,615","449,430","1,272,045",0.77,"1,124,026","1,068,877",30.88690881,954.0011361,95.78,79.6,59.41,94.9253803,65.23,66.2843873,14.4012553,12.90660026,6.407757144,302,921,187,47,56,8,"1,025,352",9.94,68.69,"1,702,668",-0.29134,-0.798078799,0.747089274
Majalengka,"346,928","425,010","771,938",0.48,"602,200","602,834",34.38991348,1182.666149,98.36,81.45,60.58,98.79,67.83,58.85878377,15.88391939,19.34783093,5.909465912,379,667,104,22,90,5,"1,280,780",10.06,67.52,"980,117",-0.29134,-0.798078799,0.787597807
