iter	Passed	Remaining
0	0	679
1	1	629
2	1	576
3	2	540
4	2	522
5	3	558
6	3	558
7	4	563
8	5	555
9	5	548
10	6	540
11	6	539
12	7	535
13	7	533
14	8	531
15	8	540
16	9	541
17	9	536
18	10	532
19	10	529
20	11	528
21	11	525
22	12	521
23	12	518
24	13	518
25	13	515
26	14	517
27	14	517
28	15	518
29	16	520
30	16	518
31	17	515
32	17	514
33	18	513
34	18	514
35	19	512
36	19	508
37	19	506
38	20	507
39	21	508
40	21	505
41	22	504
42	22	502
43	23	500
44	23	499
45	23	497
46	24	494
47	24	492
48	25	490
49	25	488
50	26	489
51	26	487
52	27	485
53	27	484
54	28	482
55	28	480
56	28	479
57	29	478
58	29	477
59	30	476
60	30	475
61	31	473
62	31	473
63	32	471
64	32	471
65	33	470
66	34	474
67	34	476
68	35	476
69	35	475
70	36	474
71	36	473
72	37	472
73	37	472
74	38	472
75	38	472
76	39	473
77	39	472
78	40	471
79	40	470
80	41	469
81	41	467
82	42	465
83	42	464
84	43	464
85	43	462
86	43	460
87	44	458
88	44	458
89	45	457
90	45	456
91	46	457
92	46	458
93	47	457
94	47	456
95	48	454
96	49	456
97	49	456
98	50	456
99	50	456
100	51	455
101	51	455
102	52	454
103	52	453
104	53	452
105	53	452
106	54	452
107	54	450
108	55	449
109	55	450
110	56	450
111	56	449
112	57	449
113	60	469
114	60	468
115	61	468
116	61	467
117	62	466
118	62	465
119	63	464
120	63	463
121	64	463
122	64	462
123	65	462
124	66	462
125	66	462
126	67	462
127	67	461
128	68	460
129	68	460
130	69	460
131	69	460
132	70	459
133	70	458
134	71	458
135	72	459
136	73	459
137	73	460
138	74	460
139	74	459
140	75	458
141	75	457
142	76	456
143	76	456
144	77	456
145	77	455
146	78	454
147	78	453
148	79	453
149	79	452
150	80	451
151	80	450
152	81	449
153	81	448
154	82	448
155	82	447
156	83	447
157	83	446
158	84	446
159	84	445
160	85	444
161	85	444
162	86	443
163	86	443
164	87	442
165	87	441
166	88	441
167	88	440
168	89	439
169	89	439
170	90	439
171	91	438
172	91	437
173	92	437
174	92	436
175	93	435
176	93	435
177	94	434
178	94	434
179	95	433
180	95	432
181	96	432
182	96	432
183	97	432
184	98	431
185	98	430
186	98	429
187	99	428
188	99	428
189	100	428
190	101	427
191	101	427
192	102	426
193	102	426
194	103	425
195	103	425
196	104	425
197	104	424
198	105	424
199	106	424
200	106	424
201	107	423
202	107	422
203	108	421
204	108	421
205	109	420
206	109	419
207	109	418
208	110	418
209	110	417
210	111	417
211	112	416
212	112	416
213	113	415
214	113	415
215	126	457
216	126	457
217	127	456
218	127	456
219	128	455
220	129	454
221	129	454
222	130	454
223	131	454
224	131	453
225	132	452
226	132	452
227	133	451
228	133	450
229	134	449
230	134	448
231	135	447
232	135	446
233	136	446
234	137	446
235	137	445
236	138	445
237	139	445
238	139	444
239	140	443
240	140	443
241	141	442
242	141	441
243	142	441
244	143	440
245	143	440
246	144	439
247	144	438
248	145	438
249	146	438
250	146	437
251	146	436
252	147	435
253	148	435
254	149	435
255	149	435
256	151	439
257	152	438
258	152	437
259	153	436
260	154	436
261	155	437
262	155	436
263	156	436
264	156	435
265	157	434
266	158	434
267	158	433
268	159	433
269	159	432
270	160	432
271	161	431
272	161	430
273	162	430
274	162	429
275	163	428
276	163	427
277	164	426
278	164	425
279	165	424
280	166	425
281	166	425
282	167	424
283	167	423
284	168	422
285	168	421
286	169	420
287	170	420
288	170	419
289	171	419
290	171	418
291	172	417
292	172	416
293	173	415
294	173	415
295	174	414
296	174	413
297	175	412
298	175	411
299	176	411
300	176	410
301	177	409
302	177	409
303	178	408
304	178	407
305	179	407
306	180	406
307	180	405
308	180	404
309	181	403
310	181	402
311	182	402
312	183	401
313	183	401
314	184	400
315	184	400
316	185	399
317	185	398
318	186	398
319	186	397
320	187	396
321	188	396
322	188	395
323	189	394
324	189	394
325	190	393
326	191	393
327	191	392
328	192	391
329	192	390
330	193	390
331	193	389
332	194	388
333	194	387
334	195	387
335	195	386
336	196	386
337	196	385
338	197	384
339	197	383
340	198	383
341	198	382
342	199	381
343	199	381
344	200	380
345	201	379
346	201	379
347	202	378
348	202	378
349	203	377
350	203	377
351	204	376
352	204	375
353	205	375
354	206	374
355	206	374
356	207	373
357	208	373
358	208	372
359	209	372
360	209	371
361	210	370
362	210	370
363	211	369
364	212	368
365	212	368
366	213	368
367	214	368
368	214	367
369	215	366
370	216	366
371	216	365
372	217	365
373	217	364
374	218	364
375	219	364
376	220	363
377	220	363
378	221	362
379	221	361
380	222	361
381	222	360
382	223	359
383	223	359
384	224	358
385	224	357
386	225	357
387	225	356
388	226	355
389	227	355
390	227	354
391	228	354
392	228	353
393	229	352
394	230	352
395	230	352
396	231	351
397	231	350
398	232	350
399	232	349
400	233	348
401	233	348
402	234	347
403	235	346
404	235	346
405	236	346
406	237	345
407	237	344
408	238	344
409	238	343
410	239	342
411	239	342
412	240	341
413	241	341
414	241	340
415	242	340
416	243	339
417	243	339
418	244	338
419	244	337
420	245	336
421	245	336
422	246	335
423	246	334
424	247	334
425	247	333
426	248	333
427	249	332
428	249	332
429	250	331
430	250	330
