iter	Passed	Remaining
0	1	1486
1	2	1322
2	3	1239
3	5	1303
4	6	1356
5	8	1329
6	9	1309
7	10	1279
8	11	1293
9	13	1304
10	14	1276
11	15	1258
12	16	1257
13	17	1258
14	19	1264
15	20	1260
16	21	1271
17	23	1263
18	24	1275
19	26	1280
20	27	1275
21	28	1268
22	29	1261
23	31	1273
24	32	1279
25	34	1273
26	35	1269
27	36	1264
28	37	1271
29	39	1269
30	40	1266
31	41	1262
32	42	1255
33	44	1256
34	45	1254
35	46	1248
36	47	1244
37	49	1243
38	50	1250
39	52	1250
40	53	1249
41	54	1246
42	55	1243
43	57	1246
44	58	1248
45	60	1245
46	61	1244
47	62	1246
48	64	1249
49	65	1246
50	66	1244
51	68	1242
52	70	1250
53	71	1254
54	73	1258
55	74	1258
56	76	1261
57	77	1264
58	79	1269
59	81	1270
60	82	1277
61	84	1279
62	86	1280
63	87	1286
64	90	1299
65	91	1296
66	92	1290
67	94	1290
68	95	1292
69	97	1292
70	98	1291
71	99	1288
72	101	1286
73	102	1285
74	103	1282
75	105	1279
76	106	1276
77	107	1275
78	109	1276
79	110	1273
80	111	1270
81	113	1267
82	114	1267
83	116	1267
84	117	1265
85	118	1263
86	120	1259
87	121	1260
88	123	1259
89	124	1258
90	125	1257
91	127	1256
92	129	1258
93	130	1256
94	131	1253
95	132	1250
96	134	1250
97	135	1249
98	136	1246
99	138	1245
100	139	1242
101	141	1241
102	142	1239
103	143	1237
104	144	1234
105	146	1231
106	147	1231
107	148	1229
108	150	1227
109	151	1223
110	152	1222
111	154	1222
112	155	1221
113	156	1218
114	158	1216
115	159	1215
116	160	1212
117	161	1210
118	163	1208
119	164	1206
120	166	1206
121	167	1205
122	168	1204
123	170	1203
124	171	1203
125	173	1202
126	174	1201
127	176	1199
128	177	1198
129	179	1199
130	180	1198
131	182	1197
132	183	1197
133	185	1197
134	186	1196
135	187	1193
136	189	1191
137	190	1188
138	191	1188
139	193	1185
140	194	1183
141	195	1182
142	196	1180
143	198	1180
144	200	1179
145	201	1177
146	202	1175
147	203	1172
148	205	1171
149	206	1169
150	207	1167
151	208	1165
152	210	1163
153	211	1162
154	212	1161
155	214	1159
156	215	1157
157	216	1156
158	218	1154
159	219	1153
160	220	1151
161	222	1148
162	223	1147
163	224	1146
164	226	1145
165	227	1143
166	228	1142
167	230	1141
168	231	1140
169	233	1138
170	234	1135
171	235	1133
172	237	1134
173	238	1133
174	239	1131
175	241	1130
176	242	1128
177	244	1128
178	246	1130
179	247	1128
180	249	1130
181	251	1130
182	252	1128
183	254	1128
184	256	1128
185	257	1127
186	258	1125
187	260	1123
188	261	1121
189	263	1121
190	264	1119
191	265	1117
192	266	1115
193	268	1114
194	269	1113
195	271	1112
196	272	1110
197	274	1109
198	275	1108
199	276	1107
200	278	1106
201	280	1106
202	281	1107
203	283	1105
204	284	1104
205	286	1102
206	287	1101
207	288	1099
208	290	1100
209	291	1098
210	293	1096
211	294	1095
212	296	1094
213	297	1093
214	298	1090
215	299	1088
216	301	1088
217	303	1087
218	304	1085
219	305	1083
