text;count;keyword
USER;372376;0
yg;23425;0
HTTPURL;21844;0
;18236;0
di;16546;0
dan;14056;0
ini;11015;0
itu;10434;0
ada;8629;0
yang;7472;0
ya;6947;0
pak;5758;0
gak;5441;0
bisa;5335;0
aja;5015;0
kita;4615;0
saya;4495;0
dari;4354;0
nya;4295;0
mau;4286;0
ke;4205;0
jadi;4117;0
apa;4042;0
ga;3977;0
orang;3924;0
rakyat;3880;1
tidak;3871;0
juga;3768;0
lagi;3702;0
akan;3666;0
mereka;3635;0
dia;3617;0
jokowi;3394;1
sama;3325;0
kalau;3325;0
untuk;3302;0
bukan;3245;0
indonesia;3224;1
sudah;3213;0
tapi;3144;0
prabowo;2980;1
tdk;2781;0
dengan;2769;0
allah;2743;0
kalo;2639;0
kan;2624;0
jangan;2574;0
presiden;2524;1
buat;2492;0
kok;2451;0
semua;2433;0
si;2244;0
lebih;2236;0
saja;2224;0
masih;2211;0
dgn;2199;0
udah;2168;0
anda;2140;0
amp;2123;0
karena;2120;0
tak;2095;0
banyak;2094;0
sdh;2078;0
punya;2044;0
hanya;2044;0
negara;2034;0
bang;1993;0
utk;1937;0
klo;1917;0
atau;1893;0
harus;1860;0
baru;1844;0
aku;1821;0
semoga;1818;0
dulu;1815;0
pada;1796;0
2019gantipresiden;1762;1
kami;1748;0
jd;1740;0
tau;1720;0
pasti;1673;0
salah;1666;0
sendiri;1637;0
siapa;1630;0
biar;1608;0
adalah;1604;0
hoax;1602;1
baik;1564;0
tp;1555;0
cuma;1550;0
mana;1544;0
seperti;1544;0
nih;1520;0
dr;1508;0
02;1503;1
jgn;1471;0
dalam;1447;0
org;1436;0
satu;1430;0
bikin;1425;0
krn;1395;0
2;1393;1
mas;1393;0
jg;1385;0
tuh;1376;0
oleh;1370;0
lah;1362;0
sih;1356;0
anak;1353;0
kalian;1351;0
lain;1322;0
mungkin;1293;0
para;1289;0
menang;1285;1
gk;1278;0
cebong;1276;0
pake;1263;0
saat;1246;0
memang;1243;0
sampai;1232;0
terus;1229;0
tetap;1225;0
malah;1217;0
lu;1198;0
bilang;1198;0
pernah;1184;0
dg;1180;0
sekarang;1171;0
dah;1158;0
selalu;1156;0
jika;1142;0
sy;1119;0
jelas;1117;0
1;1114;1
aamiin;1111;0
kamu;1092;0
gw;1084;0
