id;username;tweetID;content;likeCount;retweetCount;quoteCount;replyCount;label;weighted_sentiment;pos_sentiword;neg_sentiword;len;pos_inset;neg_inset;normalized;len_normalized;n_keywords;tag_owi;tag_prab;tag_overall;Barasa;inset;indobert
0;Singhasari1982;1074194773559304194;"@marierteman @prabowo PRABOWO AJA
PRABOWO AJA
PRABOWO AJA
PRABOWO AJA
PRABOWO AJA
PRABOWO AJA
PRABOWO AJA
PRABOWO AJA
PRABOWO AJA
PRABOWO AJA
PRABOWO AJA
PRABOWO AJA
PRABOWO AJA
PRABOWO AJA
PRABOWO AJA
PRABOWO AJA
PRABOWO AJA
PRABOWO AJA
PRABOWO AJA
PRABOWO AJA
PRABOWO AJA
PRABOWO AJA
PRABOWO AJA";2;0;0;0;-1.0;-1.0;0.0;0.0;0;0;0;prabowo prabowo prabowo prabowo prabowo prabowo prabowo prabowo prabowo prabowo prabowo prabowo prabowo prabowo prabowo prabowo prabowo prabowo prabowo prabowo prabowo prabowo prabowo;183;23;4.0;3.0;3.0;2;2;1
2;didienAZHAR;1115833133964910597;"Lima kueri tertinggi di antaranya yakni kampanye prabowo  sandi, partai prabowo sandi, pendukung prabowo sandi, partai partai pendukung prabowo sandi dan partai pendukung prabowo sandi.
https://t.co/2W5QHV24By";1;1;0;0;0.0;0.0;0.125;0.0;10;18;0;kueri tertinggi kampanye prabowo sandi partai prabowo sandi pendukung prabowo sandi partai partai pendukung prabowo sandi partai pendukung prabowo sandi httpurl;160;18;4.0;2.0;3.0;2;3;2
15;SMILE39461132;1120501976855470086;"@BangHas1705 @1nd1nd @PriyoBudiS Sahabat relawan 02; kenapa kita yakin Prabowo Sandi menang :
1. Deklarasi Prabowo Sandi menang adalah pernyataan seorang kesatria, ada bukti dan fakta.
2. 01 yg kata survei menang belum deklarasi kemenangan karena faktanya kalah, sdg ikhtiar utk menang lewat cara apapun.";5;5;0;0;1.0;7.5;0.375;0.5;17;25;-47;sahabat relawan prabowo sandi menang deklarasi prabowo sandi menang pernyataan kesatria bukti fakta survei menang deklarasi kemenangan fakta kalah sdg ikhtiar menang apapun;172;15;1.0;3.0;1.0;2;1;3
19;meyyshaan;1085890144756936704;"Pokoknya uang, uang, uang, uang, uang, uang, uang, uang, uang, uang, uang, uang, uang, uang, uang. Gitu ya, pak, strateginya?

Okay shiyaaap.";3;1;0;1;1.0;2.5;0.125;0.125;18;7;-3;pokok uang uang uang uang uang uang uang uang uang uang uang uang uang uang uang strategi okay shiyaaap;103;15;4.0;4.0;1.0;2;2;3
22;fariji_lacak;1044963168131276800;"@tridamarjati66 @aewin86 @Ndeso_Lugu @YLBHI Andai PEREBUTAN Kursi Wagub DKI antara Gerindra &amp; PKS dibawa keDPRD DKI.

Kami MOHON kpd Anggota DPRD DKI dari Parpol Pendukung Jokowi, agar MEMILIH Cawagub dari Gerindra.

Bila Wagub DKI dari Gerindra...maka tuduhan bahwa PKS hanya dijadikan BAN SEREP, jadi Terbukti, hehehe.";3;0;0;1;-1.0;-1.5;0.25;0.25;12;12;-9;perebutan kursi wagub dki gerindra pks dibawa kedprd dki mohon anggota dprd dki partai politik pendukung jokowi memilih cawagub gerindra wagub dki gerindra tuduhan pks dijadikan ban serep terbukti;196;14;2.0;2.0;2.0;2;2;1
31;nikky_cheese;1073847049341136897;"@kurawa Mknya om hrs FOKUS juga mendukung JKW ... jangan fokus kemana2 ... hehe. Semua pendukung AHOK jelas hrs mendukung JKW. Krn JKW &amp; AHOK pasti saling mendukung &amp; mrk adalah musuh bersama RADIKAL &amp; KORUPTOR ORBA!";2;1;0;1;-1.0;-2.0;0.25;0.125;8;10;-12;mknya om fokus mendukung jokowi fokus pendukung ahok mendukung jokowi jokowi ahok mendukung musuh radikal koruptor orba;119;14;3.0;1.0;2.0;2;2;1
34;tamrintomagola;1043492572046356480;"Milik pemerintah ? Semua Pemda itu milik Negara, Abdi bangsa !

Pemerintah beda dengan Negara dan Bangsa. Pemerintah itu Presiden yg menang Pilpres (UUD 45). Negara itu keseluruhan Tatatanan Kelembagaan yg berdaulat atas wilayah Indonesia. Bangsa itu kesatuan politik rakyat https://t.co/hO1Kg3TEVI";10;3;1;2;-1.0;-8.0;0.25;0.375;20;7;-11;pemerintah pemerintah daerah negara abdi bangsa pemerintah beda negara bangsa pemerintah presiden menang pilpres uud negara tatatanan kelembagaan berdaulat wilayah indonesia bangsa kesatuan politik rakyat httpurl;212;13;4.0;4.0;2.0;2;2;1
35;Arisyanabassama;1078124611558989824;"Elektabilitas Jokowi makin nyungsep di bawah 30%

Belum terlambat bagi rakyat yg tertipu jadi pendukung Jokowi 

Nyatakan tegas kehendak rakyat: 

No more Proxy No more Jokowi !

Memenangkan Prabowo Sandi di atas 80%

Menangkan partai pendukung Prabowo - sandi dg mayoritas di DPR";2;0;0;0;-1.0;-1.0;0.5;0.375;11;8;0;elektabilitas jokowi nyungsep terlambat rakyat tertipu pendukung jokowi nyatakan kehendak rakyat nomor more proxy nomor more jokowi memenangkan prabowo sandi menangkan partai pendukung prabowo sandi mayoritas dpr;212;13;1.0;3.0;2.0;2;3;1
36;Infonesia21;1043826196637601804;@Dahnilanzar @prabowo @sandiuno Bukan presiden sebagai petugas partai tapi presiden seluruh rakyat indonesia. Presiden yg berjuang dan bertugas utk rakyat indonesia. Presiden yg memberi rasa adil bagi seluruh rakyat indonesia.  Presiden yg menjaga persatuan bukan presiden yg mengadu domba dan memecah belah;10;1;0;0;1.0;6.0;0.5;0.125;20;22;-21;presiden petugas partai presiden rakyat indonesia presiden berjuang bertugas rakyat indonesia presiden adil rakyat indonesia presiden menjaga persatuan presiden mengadu domba memecah belah;188;13;1.0;3.0;2.0;2;2;3
41;indrasmtp;1039442062603476992;Partai Demokrat mendukung Prabowo Sandi, sementara kader partai pilih Jokowi Amin, apa munkin partai tanpa kader, apa munkin pilihan partai berhasil tanpa dukungan kader, PDemokrat dukung Prabowo Sandi sama aja pepesan kosong 👌🙏;2;1;0;0;-1.0;-2.0;0.0;0.0;15;19;-9;partai demokrat mendukung prabowo sandi kader partai pilih jokowi amin munkin partai kader munkin pilihan partai berhasil dukungan kader pdemokrat dukung prabowo sandi pepesan kosong;182;13;2.0;2.0;2.0;2;3;1
