iter	Passed	Remaining
0	2	2392
1	6	3260
2	8	2853
3	10	2571
4	13	2649
5	15	2608
6	17	2497
7	19	2450
8	21	2392
9	23	2318
10	25	2271
11	26	2217
12	28	2176
13	30	2174
14	32	2162
15	34	2123
16	35	2080
17	37	2038
18	39	2050
19	41	2027
20	43	2008
21	44	1991
22	46	1964
23	47	1950
24	49	1939
25	51	1922
26	52	1902
27	54	1879
28	55	1857
29	57	1853
30	59	1866
31	61	1871
32	63	1873
33	65	1873
34	67	1872
35	78	2089
36	80	2098
37	82	2096
38	85	2105
39	88	2132
40	92	2170
41	94	2165
42	99	2206
43	102	2237
44	105	2246
45	108	2246
46	110	2238
47	112	2239
48	117	2271
49	120	2283
50	126	2359
51	130	2383
52	137	2461
53	141	2470
54	146	2515
55	151	2558
56	154	2554
57	156	2541
58	197	3146
59	199	3117
60	200	3087
61	205	3115
62	209	3122
63	218	3196
64	224	3229
65	229	3245
66	232	3239
67	237	3257
68	240	3249
69	243	3229
70	244	3202
71	249	3214
72	253	3223
73	262	3290
74	268	3305
75	274	3338
76	279	3352
77	281	3328
78	283	3303
79	285	3282
80	287	3259
81	289	3239
82	291	3216
83	292	3192
84	294	3170
85	296	3147
86	299	3140
87	301	3123
88	303	3105
89	305	3089
90	307	3071
91	309	3055
92	311	3039
93	313	3026
94	316	3017
95	318	2999
96	320	2982
97	322	2964
98	324	2950
99	326	2939
100	328	2922
101	330	2906
102	331	2889
103	333	2875
104	335	2860
105	337	2847
106	339	2832
107	341	2822
108	343	2811
109	345	2798
110	347	2783
111	349	2767
112	350	2752
113	352	2736
114	353	2723
115	355	2712
116	357	2698
117	359	2685
118	360	2672
119	362	2660
120	364	2649
121	366	2636
122	368	2624
123	370	2614
124	372	2605
125	374	2594
126	375	2584
127	377	2571
128	379	2559
129	380	2546
130	383	2543
131	385	2532
132	386	2521
133	388	2510
134	390	2499
135	391	2487
136	393	2476
137	394	2466
138	396	2454
139	397	2443
140	399	2431
141	401	2427
142	403	2419
143	405	2409
144	407	2400
145	409	2395
146	411	2390
147	413	2381
148	416	2376
149	418	2370
150	420	2366
151	422	2359
152	424	2352
153	427	2346
154	431	2352
155	434	2352
156	437	2346
157	439	2344
158	443	2346
159	447	2348
160	449	2344
161	452	2338
162	454	2333
163	457	2332
164	460	2332
165	463	2329
166	465	2324
167	468	2319
168	471	2317
169	473	2313
170	476	2311
171	478	2303
172	480	2297
173	482	2289
174	484	2281
175	486	2277
176	488	2269
177	489	2261
178	491	2253
179	493	2246
180	494	2239
181	496	2231
182	498	2223
183	499	2217
184	501	2209
185	503	2203
186	505	2198
187	507	2191
188	508	2183
189	510	2176
190	512	2169
191	514	2163
192	515	2156
193	518	2154
194	520	2148
195	522	2141
196	523	2135
197	525	2129
198	527	2123
199	529	2117
200	531	2114
201	533	2108
202	535	2102
203	537	2096
204	538	2089
205	540	2083
206	542	2078
207	544	2074
208	546	2068
209	548	2063
210	551	2061
211	553	2056
212	555	2051
213	557	2047
214	558	2040
215	564	2047
216	567	2048
217	570	2048
218	573	2046
219	576	2042
220	579	2042
221	581	2038
222	584	2037
223	586	2032
224	589	2031
225	592	2027
226	593	2021
227	595	2016
228	597	2011
229	599	2005
230	600	1999
231	602	1994
232	604	1988
233	605	1982
234	608	1979
235	609	1974
236	611	1968
237	613	1962
238	614	1957
239	617	1954
240	619	1949
241	620	1944
242	623	1941
243	624	1935
244	626	1930
245	627	1924
246	629	1919
247	631	1913
248	632	1908
249	634	1903
250	636	1899
251	638	1894
252	639	1888
253	641	1883
254	642	1878
255	644	1874
256	646	1868
257	648	1863
258	649	1858
259	651	1853
260	652	1848
261	654	1843
262	656	1838
263	657	1833
264	659	1828
265	660	1822
266	663	1820
267	664	1815
268	667	1812
269	668	1807
270	670	1804
271	672	1800
272	674	1796
273	675	1791
274	677	1786
275	679	1781
276	681	1778
277	683	1774
278	684	1769
279	686	1764
280	687	1760
281	689	1755
282	691	1751
283	692	1747
284	694	1742
285	695	1737
286	697	1731
287	698	1726
288	700	1722
289	701	1717
290	702	1712
291	704	1707
292	705	1702
293	706	1697
294	708	1693
295	710	1690
296	712	1686
297	714	1682
298	715	1677
299	716	1672
300	718	1669
301	720	1665
302	721	1660
303	723	1656
304	725	1652
305	726	1647
306	727	1643
307	729	1638
308	730	1634
309	732	1629
310	733	1624
311	734	1620
312	736	1616
313	738	1613
314	739	1609
315	741	1604
316	742	1600
317	744	1596
318	746	1593
319	747	1588
320	749	1584
321	750	1580
322	752	1576
323	753	1572
324	755	1568
325	756	1564
326	758	1560
327	759	1556
328	760	1551
329	762	1547
330	764	1545
331	766	1541
332	767	1537
333	769	1534
334	770	1529
335	772	1525
336	773	1522
337	775	1518
338	776	1514
339	778	1510
340	779	1507
341	781	1504
342	783	1500
343	785	1497
344	786	1493
345	787	1489
346	789	1485
347	790	1481
348	792	1478
349	793	1474
350	795	1471
351	797	1467
352	798	1463
353	799	1459
354	801	1456
355	802	1452
356	804	1448
357	805	1444
358	806	1440
359	808	1437
360	810	1435
361	812	1431
362	813	1428
363	815	1424
364	816	1420
365	817	1416
366	819	1413
367	821	1410
368	822	1406
369	824	1403
370	825	1399
371	827	1396
372	828	1392
373	830	1389
374	831	1385
375	832	1381
376	834	1378
377	835	1375
378	838	1373
379	839	1369
380	841	1366
381	842	1362
382	843	1358
383	844	1355
384	847	1353
385	848	1349
386	850	1346
387	851	1343
388	853	1340
389	854	1336
390	856	1333
391	857	1330
392	859	1326
393	860	1323
394	861	1320
395	863	1316
396	866	1315
397	867	1312
398	869	1309
399	870	1305
400	872	1302
401	874	1300
402	875	1297
403	877	1294
404	878	1291
405	880	1288
406	882	1285
407	884	1282
408	886	1280
409	887	1277
410	889	1274
411	890	1271
412	892	1268
413	894	1265
414	895	1262
415	897	1259
416	898	1256
417	899	1252
418	901	1249
419	902	1246
420	904	1244
421	906	1241
422	907	1237
423	909	1235
424	911	1232
425	912	1229
426	914	1226
427	915	1224
428	917	1221
429	919	1218
430	920	1215
431	922	1212
432	924	1210
433	925	1207
434	927	1204
435	928	1201
436	930	1198
437	931	1195
438	933	1192
439	934	1189
440	936	1186
441	938	1184
442	939	1181
443	941	1178
444	942	1175
445	944	1172
446	945	1169
447	947	1167
448	949	1164
449	950	1161
450	952	1159
451	954	1156
452	956	1154
453	958	1152
454	959	1149
455	961	1147
456	963	1144
457	964	1141
458	967	1139
459	968	1137
460	970	1134
461	972	1132
462	973	1129
463	975	1127
464	977	1124
465	978	1121
466	980	1119
467	982	1117
468	984	1114
469	986	1112
470	988	1110
471	989	1107
472	991	1104
473	992	1101
474	995	1100
475	997	1097
476	998	1094
477	999	1092
478	1001	1089
479	1002	1086
480	1004	1083
481	1005	1081
482	1007	1078
483	1009	1076
484	1011	1073
485	1012	1070
486	1014	1068
487	1015	1065
488	1017	1062
489	1018	1060
490	1019	1057
491	1021	1054
492	1023	1052
493	1025	1050
494	1027	1048
495	1029	1045
496	1030	1042
497	1031	1040
498	1033	1037
499	1034	1034
500	1036	1032
501	1037	1029
502	1039	1027
503	1041	1024
504	1042	1022
505	1044	1019
506	1045	1016
507	1046	1013
508	1048	1011
509	1049	1008
510	1051	1005
511	1053	1003
512	1054	1001
513	1055	998
514	1057	995
515	1058	993
516	1060	990
517	1061	987
518	1062	985
519	1064	982
520	1065	979
521	1067	977
522	1069	975
523	1070	972
524	1072	970
525	1073	967
526	1075	964
527	1076	962
528	1079	960
529	1080	958
530	1082	956
531	1084	953
532	1085	951
533	1087	948
534	1088	946
535	1090	943
536	1091	940
537	1092	938
538	1094	935
539	1095	933
540	1097	931
541	1099	928
542	1100	926
543	1101	923
544	1103	921
545	1104	918
546	1106	916
547	1107	913
548	1108	910
549	1110	908
550	1111	905
551	1112	903
552	1114	900
553	1115	898
554	1117	895
555	1118	893
556	1119	890
557	1120	887
558	1122	885
559	1123	883
560	1125	880
561	1126	878
562	1128	875
563	1129	873
564	1130	870
565	1132	868
566	1133	865
567	1135	863
568	1136	860
569	1137	858
570	1139	855
571	1141	853
572	1142	851
573	1144	849
574	1145	846
575	1147	844
576	1148	842
577	1149	839
578	1151	837
579	1153	835
580	1155	833
581	1156	830
582	1158	828
583	1159	825
584	1160	823
585	1162	821
586	1164	819
587	1165	816
588	1167	814
589	1169	812
590	1171	810
591	1172	808
592	1174	806
593	1176	804
594	1177	801
595	1179	799
596	1181	797
597	1183	795
598	1184	793
599	1186	790
600	1187	788
601	1189	786
602	1191	784
603	1192	781
604	1193	779
605	1195	777
606	1196	774
607	1198	772
608	1200	770
609	1201	768
610	1203	766
611	1204	763
612	1206	761
613	1207	759
614	1209	757
615	1211	754
616	1212	752
617	1214	750
618	1215	748
619	1216	745
620	1218	743
621	1219	741
622	1220	738
623	1222	736
624	1223	734
625	1224	731
626	1226	729
627	1228	727
628	1230	725
629	1231	723
630	1232	720
631	1234	718
632	1235	716
633	1237	714
634	1238	711
635	1239	709
636	1241	707
637	1242	705
638	1244	703
